,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,date,hour,weekday,month,season_label,weather_label,holiday_map
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,2011-01-01,00,Saturday,January,Spring,sunny,non-holiday
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,2011-01-01,01,Saturday,January,Spring,sunny,non-holiday
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,2011-01-01,02,Saturday,January,Spring,sunny,non-holiday
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,2011-01-01,03,Saturday,January,Spring,sunny,non-holiday
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,2011-01-01,04,Saturday,January,Spring,sunny,non-holiday
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,2011-01-01,05,Saturday,January,Spring,cloudy,non-holiday
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,2011-01-01,06,Saturday,January,Spring,sunny,non-holiday
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,2011-01-01,07,Saturday,January,Spring,sunny,non-holiday
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,2011-01-01,08,Saturday,January,Spring,sunny,non-holiday
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,2011-01-01,09,Saturday,January,Spring,sunny,non-holiday
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,2011-01-01,10,Saturday,January,Spring,sunny,non-holiday
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,2011-01-01,11,Saturday,January,Spring,sunny,non-holiday
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,2011-01-01,12,Saturday,January,Spring,sunny,non-holiday
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,2011-01-01,13,Saturday,January,Spring,cloudy,non-holiday
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,2011-01-01,14,Saturday,January,Spring,cloudy,non-holiday
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,2011-01-01,15,Saturday,January,Spring,cloudy,non-holiday
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,2011-01-01,16,Saturday,January,Spring,cloudy,non-holiday
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,2011-01-01,17,Saturday,January,Spring,cloudy,non-holiday
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,2011-01-01,18,Saturday,January,Spring,rainly,non-holiday
